dispute_id,amount,scenario,reason,delivery_status,delivery_proof,refund_status,customer_message,merchant_message,transaction_date,delivery_date,ground_truth
CB00777,10384,delivery_failure,product_not_received,failed,False,not_issued,I did not receive my order.,Courier delivery attempt failed.,2026-04-15,2026-04-25,DO_NOT_CONTEST
CB00508,4990,unauthorized_transaction,unauthorized_transaction,unknown,False,not_issued,I do not recognize this transaction.,The transaction requires further verification.,2026-04-26,2026-05-05,HUMAN_REVIEW
CB00896,6074,duplicate_charge,duplicate_charge,delivered,True,not_issued,I was charged twice for the same order.,Two payment records were detected.,2026-07-15,2026-07-17,HUMAN_REVIEW
CB00923,19998,contradictory_evidence,product_not_received,delivered,True,not_issued,I did not receive my order.,Customer previously confirmed that the order was received.,2026-06-05,2026-06-07,HUMAN_REVIEW
CB00034,15367,strong_delivery_evidence,product_not_received,delivered,True,not_issued,I did not receive my order.,Delivery was completed and proof is available.,2026-06-19,2026-06-28,CONTEST
CB00484,15718,delivery_failure,product_not_received,failed,False,not_issued,I did not receive my order.,Courier delivery attempt failed.,2026-05-30,2026-06-09,DO_NOT_CONTEST
CB00086,17061,weak_evidence,product_not_as_described,delivered,True,not_issued,The product I received was not as described.,No additional evidence is available.,2026-06-22,2026-06-23,HUMAN_REVIEW
CB00751,7637,duplicate_charge,duplicate_charge,delivered,True,not_issued,I was charged twice for the same order.,Two payment records were detected.,2026-07-02,2026-07-10,HUMAN_REVIEW
CB00355,10758,duplicate_charge,duplicate_charge,delivered,True,not_issued,I was charged twice for the same order.,Two payment records were detected.,2026-04-01,2026-04-08,HUMAN_REVIEW
CB00524,7294,unauthorized_transaction,unauthorized_transaction,unknown,False,not_issued,I do not recognize this transaction.,The transaction requires further verification.,2026-03-09,2026-03-17,HUMAN_REVIEW
CB00185,6776,delivery_failure,product_not_received,failed,False,not_issued,I did not receive my order.,Courier delivery attempt failed.,2026-04-24,2026-04-29,DO_NOT_CONTEST
CB00810,19228,unauthorized_transaction,unauthorized_transaction,unknown,False,not_issued,I do not recognize this transaction.,The transaction requires further verification.,2026-07-26,2026-08-04,HUMAN_REVIEW
CB00419,19343,delivery_failure,product_not_received,failed,False,not_issued,I did not receive my order.,Courier delivery attempt failed.,2026-07-20,2026-07-25,DO_NOT_CONTEST
CB00616,12284,weak_evidence,product_not_as_described,delivered,True,not_issued,The product I received was not as described.,No additional evidence is available.,2026-04-28,2026-04-30,HUMAN_REVIEW
CB00683,14867,contradictory_evidence,product_not_received,delivered,True,not_issued,I did not receive my order.,Customer previously confirmed that the order was received.,2026-03-01,2026-03-03,HUMAN_REVIEW
CB00502,9956,missing_delivery_evidence,product_not_received,unknown,False,not_issued,I did not receive my order.,We could not find delivery confirmation.,2026-05-19,2026-05-28,HUMAN_REVIEW
CB00761,8172,duplicate_charge,duplicate_charge,delivered,True,not_issued,I was charged twice for the same order.,Two payment records were detected.,2026-03-11,2026-03-13,HUMAN_REVIEW
CB00050,2821,delivery_failure,product_not_received,failed,False,not_issued,I did not receive my order.,Courier delivery attempt failed.,2026-06-15,2026-06-23,DO_NOT_CONTEST
CB00733,14962,delivery_failure,product_not_received,failed,False,not_issued,I did not receive my order.,Courier delivery attempt failed.,2026-05-09,2026-05-11,DO_NOT_CONTEST
CB00337,5194,duplicate_charge,duplicate_charge,delivered,True,not_issued,I was charged twice for the same order.,Two payment records were detected.,2026-08-08,2026-08-11,HUMAN_REVIEW
CB00451,3019,refund_issued,product_not_received,delivered,True,issued,I did not receive my order.,Refund has already been issued to the customer.,2026-04-12,2026-04-18,DO_NOT_CONTEST
CB00791,2666,contradictory_evidence,product_not_received,delivered,True,not_issued,I did not receive my order.,Customer previously confirmed that the order was received.,2026-02-28,2026-03-07,HUMAN_REVIEW
CB00351,16798,duplicate_charge,duplicate_charge,delivered,True,not_issued,I was charged twice for the same order.,Two payment records were detected.,2026-07-12,2026-07-15,HUMAN_REVIEW
CB00468,11789,refund_issued,product_not_received,delivered,True,issued,I did not receive my order.,Refund has already been issued to the customer.,2026-04-06,2026-04-16,DO_NOT_CONTEST
CB00623,11561,contradictory_evidence,product_not_received,delivered,True,not_issued,I did not receive my order.,Customer previously confirmed that the order was received.,2026-04-22,2026-04-30,HUMAN_REVIEW
