dispute_id,amount,scenario,reason,delivery_status,delivery_proof,refund_status,customer_message,merchant_message,transaction_date,delivery_date,ground_truth
CB00001,4148,strong_delivery_evidence,product_not_received,delivered,True,not_issued,I did not receive my order.,Delivery was completed and proof is available.,2026-06-16,2026-06-20,CONTEST
CB00002,7814,refund_issued,product_not_received,delivered,True,issued,I did not receive my order.,Refund has already been issued to the customer.,2026-07-30,2026-08-08,DO_NOT_CONTEST
CB00003,3348,duplicate_charge,duplicate_charge,delivered,True,not_issued,I was charged twice for the same order.,Two payment records were detected.,2026-08-17,2026-08-18,HUMAN_REVIEW
CB00004,3570,delivery_failure,product_not_received,failed,False,not_issued,I did not receive my order.,Courier delivery attempt failed.,2026-06-27,2026-07-06,DO_NOT_CONTEST
CB00005,1369,delivery_failure,product_not_received,failed,False,not_issued,I did not receive my order.,Courier delivery attempt failed.,2026-03-12,2026-03-21,DO_NOT_CONTEST
CB00006,14246,delivery_failure,product_not_received,failed,False,not_issued,I did not receive my order.,Courier delivery attempt failed.,2026-05-03,2026-05-13,DO_NOT_CONTEST
CB00007,9615,strong_delivery_evidence,product_not_received,delivered,True,not_issued,I did not receive my order.,Delivery was completed and proof is available.,2026-07-16,2026-07-23,CONTEST
CB00008,11649,contradictory_evidence,product_not_received,delivered,True,not_issued,I did not receive my order.,Customer previously confirmed that the order was received.,2026-07-17,2026-07-21,HUMAN_REVIEW
CB00009,11529,missing_delivery_evidence,product_not_received,unknown,False,not_issued,I did not receive my order.,We could not find delivery confirmation.,2026-08-02,2026-08-09,HUMAN_REVIEW
CB00010,3669,unauthorized_transaction,unauthorized_transaction,unknown,False,not_issued,I do not recognize this transaction.,The transaction requires further verification.,2026-05-29,2026-06-08,HUMAN_REVIEW
CB00011,9167,strong_delivery_evidence,product_not_received,delivered,True,not_issued,I did not receive my order.,Delivery was completed and proof is available.,2026-04-30,2026-05-09,CONTEST
CB00012,4590,duplicate_charge,duplicate_charge,delivered,True,not_issued,I was charged twice for the same order.,Two payment records were detected.,2026-08-05,2026-08-14,HUMAN_REVIEW
CB00013,10106,unauthorized_transaction,unauthorized_transaction,unknown,False,not_issued,I do not recognize this transaction.,The transaction requires further verification.,2026-03-31,2026-04-04,HUMAN_REVIEW
CB00014,2779,strong_delivery_evidence,product_not_received,delivered,True,not_issued,I did not receive my order.,Delivery was completed and proof is available.,2026-03-09,2026-03-13,CONTEST
CB00015,9982,missing_delivery_evidence,product_not_received,unknown,False,not_issued,I did not receive my order.,We could not find delivery confirmation.,2026-06-27,2026-06-29,HUMAN_REVIEW
CB00016,12955,contradictory_evidence,product_not_received,delivered,True,not_issued,I did not receive my order.,Customer previously confirmed that the order was received.,2026-05-01,2026-05-07,HUMAN_REVIEW
CB00017,5829,unauthorized_transaction,unauthorized_transaction,unknown,False,not_issued,I do not recognize this transaction.,The transaction requires further verification.,2026-05-27,2026-05-31,HUMAN_REVIEW
CB00018,9248,missing_delivery_evidence,product_not_received,unknown,False,not_issued,I did not receive my order.,We could not find delivery confirmation.,2026-03-23,2026-03-26,HUMAN_REVIEW
CB00019,18002,delivery_failure,product_not_received,failed,False,not_issued,I did not receive my order.,Courier delivery attempt failed.,2026-07-15,2026-07-23,DO_NOT_CONTEST
